,oil,EURUSD
2016-01-04,33.58,1.0803
2016-01-05,33.10062366,1.0743
2016-01-06,31.49042929,1.0762
2016-01-07,30.91160221,1.086
2016-01-08,29.09508498,1.0885
2016-01-09,29.09508498,1.0885
2016-01-10,29.09508498,1.0885
2016-01-11,27.70729914,1.0878
2016-01-12,26.88936052,1.0837
2016-01-13,26.31191309,1.0862
2016-01-14,26.55127969,1.0862
2016-01-15,26.26778548,1.0964
2016-01-16,26.26778548,1.0964
2016-01-17,26.26778548,1.0964
2016-01-18,24.95439621,1.0964
2016-01-19,25.08710801,1.0906
2016-01-20,23.84488449,1.0908
2016-01-21,25.46847595,1.0833
2016-01-22,28.16719068,1.0814
2016-01-23,28.16719068,1.0814
2016-01-24,28.16719068,1.0814
2016-01-25,27.5295421,1.0832
2016-01-26,28.52664577,1.0846
2016-01-27,29.29051256,1.0867
2016-01-28,30.14061359,1.0952
2016-01-29,30.59453471,1.0832
2016-01-30,30.59453471,1.0832
2016-01-31,30.59453471,1.0832
2016-02-01,29.80345334,1.0888
2016-02-02,28.40117345,1.0908
2016-02-03,29.30051579,1.1051
2016-02-04,29.25261184,1.1199
2016-02-05,29.06297727,1.1131
2016-02-06,29.06297727,1.1131
2016-02-07,29.06297727,1.1131
2016-02-08,28.32587287,1.117
2016-02-09,26.68141593,1.13
2016-02-10,26.41240421,1.1222
2016-02-11,25.3652526,1.1362
2016-02-12,28.30440587,1.1235
2016-02-13,28.30440587,1.1235
2016-02-14,28.30440587,1.1235
2016-02-15,28.30440587,1.1235
2016-02-16,27.90843806,1.114
2016-02-17,29.81149013,1.114
2016-02-18,29.93148215,1.1092
2016-02-19,28.45331176,1.1127
2016-02-20,28.45331176,1.1127
2016-02-21,28.45331176,1.1127
2016-02-22,30.48647667,1.1018
2016-02-23,28.95787945,1.1016
2016-02-24,28.58179838,1.1021
2016-02-25,29.77507709,1.1026
2016-02-26,32.71130626,1.0932
2016-02-27,32.71130626,1.0932
2016-02-28,32.71130626,1.0932
2016-02-29,33.05115937,1.0868
2016-03-01,32.93998341,1.0847
2016-03-02,33.54541263,1.0845
2016-03-03,32.65436609,1.0948
2016-03-04,34.15985468,1.101
2016-03-05,34.15985468,1.101
2016-03-06,34.15985468,1.101
2016-03-07,35.45983279,1.1004
2016-03-08,35.5096119,1.1028
2016-03-09,36.52694611,1.1022
2016-03-10,34.6084931,1.1162
2016-03-11,35.25044723,1.118
2016-03-12,35.25044723,1.118
2016-03-13,35.25044723,1.118
2016-03-14,34.26667867,1.1107
2016-03-15,33.73830094,1.1112
2016-03-16,34.65462754,1.1075
2016-03-17,34.72074938,1.1316
2016-03-18,34.76797733,1.1292
2016-03-19,34.76797733,1.1292
2016-03-20,34.76797733,1.1292
2016-03-21,35.44404973,1.126
2016-03-22,36.10616316,1.1228
2016-03-23,34.75926257,1.1174
2016-03-24,34.33664785,1.1163
2016-03-25,34.33664785,1.1164
2016-03-26,34.33664785,1.1164
2016-03-27,34.33664785,1.1164
2016-03-28,34.1926851,1.121
2016-03-29,32.80078543,1.1204
2016-03-30,32.43601059,1.133
2016-03-31,32.26514486,1.139
2016-04-01,31.98945982,1.1385
2016-04-02,31.98945982,1.1385
2016-04-03,31.98945982,1.1385
2016-04-04,31.66168979,1.1386
2016-04-05,31.54563039,1.1374
2016-04-06,33.04461942,1.143
2016-04-07,32.62778851,1.1386
2016-04-08,35.69174119,1.1406
2016-04-09,35.69174119,1.1406
2016-04-10,35.69174119,1.1406
2016-04-11,36.43533123,1.1412
2016-04-12,37.75340061,1.1395
2016-04-13,37.94876341,1.1281
2016-04-14,38.19925413,1.1262
2016-04-15,36.58255865,1.1295
2016-04-16,36.58255865,1.1295
2016-04-17,36.58255865,1.1295
2016-04-18,36.77795443,1.1322
2016-04-19,37.81978022,1.1375
2016-04-20,38.03177405,1.133
2016-04-21,38.47447129,1.1301
2016-04-22,39.12269775,1.1239
2016-04-23,39.12269775,1.1239
2016-04-24,39.12269775,1.1239
2016-04-25,38.11424517,1.1274
2016-04-26,38.82311362,1.1318
2016-04-27,39.01254195,1.1322
2016-04-28,40.26490066,1.1325
2016-04-29,39.89161787,1.1441
2016-04-30,39.89161787,1.1441
2016-05-01,39.89161787,1.1441
2016-05-02,39.78812088,1.1516
2016-05-03,37.44351755,1.1508
2016-05-04,37.50652969,1.1486
2016-05-05,38.92493862,1.1404
2016-05-06,39.0508712,1.1421
2016-05-07,39.0508712,1.1421
2016-05-08,39.0508712,1.1421
2016-05-09,37.15086245,1.1421
2016-05-10,37.15086245,1.1421
2016-05-11,37.15086245,1.1421
2016-05-12,37.15086245,1.1421
2016-05-13,37.15086245,1.1421
2016-05-14,37.15086245,1.1421
2016-05-15,37.15086245,1.1421
2016-05-16,37.15086245,1.1421
,,
,,
,,
